DataElementId,Collection,Collection Data Element Number,Collection Frame,Classification,Data Element,Definition:,Collection Short Name,Population:,Coding Data  Type,Size,Coding Format,Guide for Use,System Requirements,Standards Used,Related Items,Rules,Comments,Authoritative Source,Where used or published,Custodian of DataSet,Reference to Standards,SIF Object,SIF Element,Data Element Type,SIFFrame,Could be mapped at RAW
1,Census NonGov,,School Name and Contact Details,Raw,AGEID,,,,Number,,,"Data in the Client Detail fields are pre-populated from the Department's records, only amend the data if incorrect, do NOT make purely cosmetic changes.",,,,,,,,,,SchoolInfo,CommonwealthId,,,
2,Census NonGov,,School Name and Contact Details,Raw,School Name,,,,Character,,,A separate Census return must be completed for each campus of a multi-campus school,,,,Must correspond with State/Territory Registration.  Changes must be made outside the Census - ie through School Entry Point (SEP) or via grantsanddata.help@education.gov.au,,,,,,SchoolInfo,SchoolName,,,
3,Census NonGov,,School Name and Contact Details,Raw,Location Address,Address of school or campus completing census return.,,,Character,,,,,,,Must correspond with State/Territory Registration.  Changes must be made outside the Census - ie through School Entry Point (SEP) or via grantsanddata.help@education.gov.au,,,,,,SchoolInfo,AddressList,,,
4,Census NonGov,,School Name and Contact Details,Raw,Location Suburb,Suburb of school or campus completing census return.,,,Character,,,,,,,Must correspond with State/Territory Registration.  Changes must be made outside the Census - ie through School Entry Point (SEP) or via grantsanddata.help@education.gov.au,,,,,,SchoolInfo,AddressList/City,,,
5,Census NonGov,,School Name and Contact Details,Raw,Location State,State of school or campus completing census return,,,Character,,,,,,,Must correspond with State/Territory Registration.  Changes must be made outside the Census - ie through School Entry Point (SEP) or via grantsanddata.help@education.gov.au,,,,,,SchoolInfo,AddressList/State,,,
6,Census NonGov,,School Name and Contact Details,Raw,Location Postcode,Postcode of school or campus completing census return.,,,Number,,,,,,,Must correspond with State/Territory Registration.  Changes must be made outside the Census - ie through School Entry Point (SEP) or via grantsanddata.help@education.gov.au,,,,,,SchoolInfo,AddressList/PostalCode,,,
7,Census NonGov,,School Name and Contact Details,Raw,Postal Address,Postal address of school or campus completing census return.,,,Character,,,,,,,,,,,,,SchoolInfo,AddressList,,,
8,Census NonGov,,School Name and Contact Details,Raw,Postal Suburb,Postal suburb of school or campus completing census return.,,,Character,,,,,,,,,,,,,SchoolInfo,AddressList/City,,,
9,Census NonGov,,School Name and Contact Details,Raw,Postal State,Postal state of school or campus completing census return,,,Character,,,,,,,,,,,,,SchoolInfo,AddressList/State,,,
10,Census NonGov,,School Name and Contact Details,Raw,Postal Postcode,Postal postcode of school or campus completing census return.,,,Number,,,,,,,,,,,,,SchoolInfo,AddressList/PostalCode,,,
11,Census NonGov,,School Name and Contact Details,Raw,Phone Number,Phone number of school or campus completing census return,,,Number,,,,,,,,,,,,,SchoolInfo,PhoneNumberList,,,
12,Census NonGov,,School Name and Contact Details,Raw,Fax Number,Fax number of school or campus completing census return,,,Number,,,,,,,,,,,,,SchoolInfo,PhoneNumberList,,,
13,Census NonGov,,School Name and Contact Details,Raw,Client Type,,,,,,,,,,,,,,,,,,,,,
14,Census NonGov,,School Name and Contact Details,Raw,Affiliation,,,,,,,,,,,,,,,,,,,,,
15,Census NonGov,,School Name and Contact Details,Raw,Student Gender,,,,,,,,,,,,,,,,,SchoolInfo,SchoolCoEdStatus,,,
16,Census NonGov,,School Name and Contact Details,Raw,Education Level,,,,,,,,,,,Must correspond with State/Territory Registration.  Changes must be made outside the Census - ie through School Entry Point (SEP) or via grantsanddata.help@education.gov.au,,,,,,SchoolInfo,SchoolType (SchoolLevel?),,,
17,Census NonGov,,School Name and Contact Details,Raw,Website,,,,,,,,,,,,,,,,,SchoolInfo,SchoolURL,,,
18,Census NonGov,,School Name and Contact Details,Raw,Email Address,,,,Character,,,,,,,,,,,,,SchoolInfo,SchoolEmailList,,,
