DataElementId,Collection,Collection Data Element Number,Collection Frame,Classification,Data Element,Definition,Collection Short Name,Population,Coding Data Type,Size,Coding Format,Guide for Use,System Requirements,Standards Used,Related Items,Rules,Comments,Authoritative Source,Where used or published,Custodian of DataSet,Reference to Standards,SIF Object,SIF Attribute,Data Element Type,SIFFrame,Able to be mapped RAW
1,Finance NonGov,,School Contact and Auditor Details,Raw,AGEID ,School ID,,,Number,,,,,,,,,,,,,SchoolInfo,CommonwealthId,,,
2,Finance NonGov,,School Contact and Auditor Details,Raw,Name,School Name,,,Character,,,,,,,,,,,,,SchoolInfo,SchoolName,,,
3,Finance NonGov,,School Contact and Auditor Details,Raw,Address,School Address,,,Character,,,,,,,,,,,,,SchoolInfo,"AddressList/StreetNumber
AddressList/StreetName",,,
4,Finance NonGov,,School Contact and Auditor Details,Raw,Suburb,School Suburb,,,Character,,,,,,,,,,,,,SchoolInfo,AddressList/City,,,
5,Finance NonGov,,School Contact and Auditor Details,Raw,State,School state,,,Character,,,,,,,,,,,,,SchoolInfo,AddressList/StateProvince ,,,
6,Finance NonGov,,School Contact and Auditor Details,Raw,Postcode ,School Postcode,,,Number,,,,,,,,,,,,,SchoolInfo,AddressList/PostalCode,,,
7,Finance NonGov,,School Contact and Auditor Details,Raw,Title,School Contact Person Title (is this Mr/Ms etc?),,,,,,,,,,,,,,,,,,,,
8,Finance NonGov,,School Contact and Auditor Details,Raw,First Name,School Contact Person First Name,,,Character,,,,,,,,,,,,,SchoolInfo,SchoolContactList/GivenName,,,
9,Finance NonGov,,School Contact and Auditor Details,Raw,Family Name,School Contact Person Family Name,,,Character,,,,,,,,,,,,,SchoolInfo,SchoolContactList/FamilyName,,,
10,Finance NonGov,,School Contact and Auditor Details,Raw,Position,School Contact Person Position,,,Character,,,,,,,,,,,,,SchoolInfo,SchoolContactList/PositionTitle,,,
11,Finance NonGov,,School Contact and Auditor Details,Raw,Telephone No,School Contact Person Telephone,,,Number,,,,,,,,,,,,,SchoolInfo,SchoolContactList/PhoneNumberList/PhoneNumberType/Number,,,
