fDataElementId,Collection,Collection Data Element Number,Collection Frame,Classification,Data Element,Definition,Collection Short Name,Population,Coding Data  Type,Size,Coding Format,Guide for Use,System Requirements,Standards Used,Related Items,Rules,Comments,Authoritative Source,Where used or published,Custodian of DataSet,Reference to Standards,SIF Object,SIF Attribute,Data Element Type,SIFFrame,Able to be mapped RAW
1,NAPLAN Registration,2.1,Student,Raw,Local School Student ID,The student id assigned by  and used by local school administrative system,,,String,,,Mandatory field,,,,,N-Not currently provided for NAPLAN,,,,,StudentPersonal,LocalId,,,
2,NAPLAN Registration,2.2,Student,Raw,Sector Student ID,An identifier applied by a school sector ,,,String,,,Optional field,,,,,N-Not currently provided for NAPLAN,,,,,StudentPersonal,"OtherIdList/OtherId, OtherIdList/OtherId@Type = SectorStudentId",,,
3,NAPLAN Registration,2.3,Student,Raw,Diocesan Student ID,A student identifier applied by a diocese ,,,String,,,Optional field,,,,,N-Not currently provided for NAPLAN,,,,,StudentPersonal,"OtherIdList/OtherId, OtherIdList/OtherId@Type = DiocesanStudentId",,,
4,NAPLAN Registration,2.4,Student,Raw,Other Student ID,Other Identifier not listed elsewhere,,,String,,,Optional field,,,,,N-Not currently provided for NAPLAN,,,,,StudentPersonal,"OtherIdList/OtherId, OtherIdList/OtherId@Type = OtherStudentId",,,
5,NAPLAN Registration,2.5,Student,Raw,TAA Student ID,An identifier assigned by and used by TAA for NAPLAN processing,,,String,,,Optional field,,,,,Y-Currently provided for NAPLAN,,,,,StudentPersonal,"OtherIdList/OtherId, OtherIdList/OtherId@Type = TAAStudentId",,,
6,NAPLAN Registration,2.6,Student,Raw,Jurisdiction Student ID,An identifier which is applied state wide ,,,String,,,Optional field,,,,,Y-Currently provided for NAPLAN,,,,,StudentPersonal,StateProvinceId,,,
7,NAPLAN Registration,2.7,Student,Raw,National Student ID,Placeholder for a national school student identifier,,,String,,,Optional field,,,,,N-Not currently provided for NAPLAN,,,,,StudentPersonal,"OtherIdList/OtherId, OtherIdList/OtherId@Type = NationalStudentId",,,
8,NAPLAN Registration,2.8,Student,Raw,Platform Student ID ,Assessment platform student identifier,,,String,,,Optional field,,,,,N-Not currently provided for NAPLAN,,,,,StudentPersonal,"OtherIdList/OtherId, OtherIdList/OtherId@Type = NAPPlatformStudentId",,,
9,NAPLAN Registration,2.9,Student,Raw,Previous Local School Student ID,Previous local student id assigned by  and used by local school administrative system,,,String,,,Optional field,,,,,N-Not currently provided for NAPLAN,,,,,StudentPersonal,"OtherIdList/OtherId, OtherIdList/OtherId@Type = PreviousLocalSchoolStudentId",,,
10,NAPLAN Registration,2.1,Student,Raw,Previous Sector Student ID,Previous identifier applied by a school sector ,,,String,,,Optional field,,,,,N-Not currently provided for NAPLAN,,,,,StudentPersonal,"OtherIdList/OtherId, OtherIdList/OtherId@Type = PreviousSectorStudentId",,,
