DataElementId,Collection,Collection Data Element Number,Collection Frame,Classification,Data Element,Definition,Collection Short Name,Population,Coding Data  Type,Size,Coding Format,Guide for Use,System Requirements,Standards Used,Related Items,Rules,Comments,Authoritative Source,Where used or published,Custodian of DataSet,Reference to Standards,SIF Object,SIF Element,Data Element Type,SIFFrame,Could be mapped at RAW,,,,,,,,,,,,,,,
1,NSSC URL,1,Enrolment,Raw,System Student ID,The ID used by the enrolling system for administration of the student and their enrolment(s).,EN_SYSSTDID,All Active Enrolments,String,," [x(*)] string, various alpha-numeric length",N/A,Length and composition of the System Student ID may vary between enrolling education systems.,N/A,13 Main School Flag (EN_MNSCHFLG),,"Assumption is there will be a record for each student at each school in which they are enrolled, but that the student id across schools will be the same so records can be combined to calculate FTE of each student",School Enrolling Student,,,,StudentPersonal,LocalId,Identifier,Student,,,,,,,,,,,,,,,,
2,NSSC URL,2a,Enrolment,Raw,Given Name,Student's first or given name,ST_GNAME,All enrolled Students,Alpha-numeric or String?,," [x(*)] string, various alpha-numeric length",N/A,Length and composition of the Student First Name may vary between enrolling education systems.,N/A,Enrolment Frame 2-EN_FSTLET,,Source of Enrolment Frame 2-EN_FSTLET,School Enrolling Student,,,,StudentPersonal,PersonInfo/Name/GivenName,Identifying,Student,,,,,,,,,,,,,,,,
3,NSSC URL,2,Enrolment,Derived,Letters of Student's Enrolled Given Name,The second and third letters in the student’s first (or given) name.,EN_FSTLET,All Active Enrolments,Alpha-numeric,2,"XX
 99 = Not stated/inadequately described Where letters are missing (i.e. first (or given) name is less than three letters), replace the missing letters with “2”.","Enter the second (2nd) and the third (3rd) letters in the student’s first name consecutively, excluding any non-alphabetic characters and counting the next available letter in that name.
If the student's given name includes non-alphabetic characters such as hyphens (as in Lee-Archer), apostrophes (as in O’Mara), or blank spaces (as in De Vries), these should be ignored when counting the position of each character.
Any missing values should be replaced with a 2, except, and only where the entire name is missing (Not stated/inadequately described) in which case the 99 entry should be used.
Not case sensitive.
For example: 
For the name Jane enter AN. 
For the name Ed enter D2.
For the name An-Marie enter NM.","Data is valid to two alpha-numeric characters only. Entries of more than two alpha-numeric characters, blank spaces and entries containing numbers other than 2 or 9 will not be valid.",AIHW: Statistical Linkage Key 581 <http://meteor.aihw.gov.au/content/index.phtml/itemId/349510>,"Enrolment Frame 
3 - Letters of Student’s Enrolled Family Name (EN_SURLET)
4 - Date of Birth (EN_DOB)
5 - Sex (EN_SEX) 
Enrolment Derived
1 - Statistical Linkage Key (END_LNK_RECKEY)",,To be used if there is no student id across schools? Derived from Student's Enrolled Given Name,School Enrolling Student,,,,StudentPersonal,PersonInfo/Name/GivenName,Derived,Student,,,,,,,,,,,,,,,,
4,NSSC URL,3a,Enrolment,Raw,Family Name,Family Name,ST_SURNAME,All enrolled Students,Alpha-numeric or String?,," [x(*)] string, various alpha-numeric length",N/A,Length and composition of the Student First Name may vary between enrolling education systems.,N/A,3 - Letters of Student’s Enrolled Family Name (EN_SURLET),,Source of Enrolment Frame 3-EN_SURLET,School Enrolling Student,,,,StudentPersonal,PersonInfo/Name/FamilyName,Identifying,Student,,,,,,,,,,,,,,,,
5,NSSC URL,3,Enrolment,Derived,Letters of Student’s Enrolled Family Name,"The second, third and fifth letters of the student’s family name (or surname).",EN_SURLET,All Active Enrolments,Alpha-numeric,3,"XXX
999 = Not stated/inadequately described
Where letters are missing (i.e. family name (or surname) is less than five letters), replace the missing letters with “2”.","Enter the second (2nd), third (3rd) and fifth (5th) letters in the student’s family name consecutively, excluding any non-alphabetic characters and counting the next available letters in that name.
If the child's family name includes non-alphabetic characters such as hyphens (as in Lee-Archer), apostrophes (as in O’Mara), or blank spaces (as in De Vries), these should be ignored when counting the position of each character.
Any missing values should be replaced with a 2, except, and only where the entire name is missing (Not stated/inadequately described) in which case the 999 entry should be used.
For example: 
For the surname SMITH enter MIH. 
For the surname NG enter G22.
For the surname Owen-Smith enter WES.","Data is valid to three alpha-numeric characters only. Entries of more than three alpha-numeric characters, blank spaces and entries containing numbers other than 2 or 9 will not be valid.",AIHW: Statistical Linkage Key 581 <http://meteor.aihw.gov.au/content/index.phtml/itemId/349510>,"Enrolment Frame
2 - Letters of Student’s Enrolled Given Name (EN_FSTLET)
4 - Date of Birth (EN_DOB)
5 - Sex (EN_SEX) 
Enrolment Derived
1 - Statistical Linkage Key (END_LNK_RECKEY)",,To be used if there is no student id across schools? Derived from Student’s Enrolled Family Name,School Enrolling Student,,,,StudentPersonal,PersonInfo/Name/FamilyName,Derived,Student,,,,,,,,,,,,,,,,
6,NSSC URL,4,Enrolment,Raw,Date of Birth (DOB) ,"The day, month and year on which the student was born.",EN_DOB,All Active Enrolments,"Continuous, Numeric",8,"DDMMYYYY
00 = missing day value
00 = missing month value
0000 = missing year value","When entering data enter:
• two digits for the day (include leading zeros)
• two digits for the month (include leading zeros)
• four digits for the year.
If the DOB is only partly stated, enter the data that is available and put a 0 in place of the missing numerals.
For example:
If the student was born on the 1st of January 2000 it would be recorded as 01012000.
If the student’s birth month is known to be February but the day and year are not known it would be recorded as 00020000
If the whole birth date is unknown it would be recorded as 00000000","Entries less than 8 numerals will be assumed to have leading zeros to make the entry 8 numerals in length.
Entries of more than 8 numerals, use of separators (for example, the symbols / or .), blank spaces or alphabetic characters will not be valid.",N/A,"Enrolment Frame
2 - Letters of Student’s Enrolled Given Name (EN_FSTLET)
3 - Letters of Student’s Enrolled Family Name (EN_SURLET)
5 - Sex (EN_SEX) 
Enrolment Derived
1 - Statistical Linkage Key (END_LNK_RECKEY)",,"Do you want to store year, month and day seperately?",School Enrolling Student,,,,StudentPersonal,PersonInfo/Demographics/BirthDate,Descriptor,Student,,,,,,,,,,,,,,,,2 - Letters of Student’s Enrolled Given Name (EN_FSTLET)
7,NSSC URL,5,Enrolment,Raw,Sex,The biological sex of the student.,EN_SEX,All Active Enrolments,"Categorical, Numeric",1,"N
1 = Male
2 = Female
3 = Intersex or Indeterminate
9 = Not stated/inadequately described","Record the biological distinction between male and female, as represented by a code.
The “Intersex or Indeterminate” category is for an instance when the student’s enrolled sex is neither male nor female. For not stated or missing information the “Not stated/inadequately described” category should be used.
",Data is valid to 1 numeral only. Data is categorical; entries other than prescribed are not valid.,N/A,"Enrolment Frame
2 - Letters of Student’s Enrolled Given Name (EN_FSTLET)
3 - Letters of Student’s Enrolled Family Name (EN_SURLET)
4 - Date of Birth (EN_DOB)
Enrolment Derived
1 - Statistical Linkage Key (END_LNK_RECKEY)",,,School Enrolling Student,Schools Australia Cat 4220.1,ABS,,StudentPersonal,PersonInfo/Demographics/Sex,Descriptor,Student,,,,,,,,,,,,,,,,4 - Date of Birth (EN_DOB)
8,NSSC URL,6,Enrolment,Raw,Indigenous Status,The Indigenous status of an enrolment showing whether the enrolled person is a person of Aboriginal and/or Torres Strait Islander descent who identifies as an Aboriginal and/or Torres Strait Islander and is accepted as such by the community in which he or she lives.,EN_INDIGST,All Active Enrolments,"Categorical, Numeric",1,"N
1 = Aboriginal but not Torres Strait Islander origin
2 = Torres Strait Islander but not Aboriginal origin
3 = Both Aboriginal and Torres Strait Islander origin
4 = Neither Aboriginal nor Torres Strait Islander origin
9 = Not Stated/inadequately described","Self-identification is an important component of the definition for Aboriginal and/or Torres Strait Islander status and persons should not be identified as having Aboriginal and/or Torres Strait Islander status without their consent. However, it is expected that reporting of this item will include students whose parent/s or carer/s has/have identified them as having Aboriginal and/or Torres Strait Islander status.
Where ATSI Status is not stated or unknown, the “Not Stated/Inadequately” described category should be used.",Data is valid to 1 numeral only. Data is categorical; entries other than prescribed are not valid.,"Standards for Statistics on Cultural and Language Diversity (ABS cat. no. 1289.0)
SCSEEC 2010 Data Standards Manual http://www.acara.edu.au/verve/_resources/DSM_1.pdf","Enrolment Derived
2 - Indigenous (derived)  Status (END_INDSTS)",,,School Enrolling Student,,,,StudentPersonal,PersonInfo/Demographics/IndigenousStatus,Descriptor,Student,,,,,,,,,,,,,,,,5 - Sex (EN_SEX)
9,NSSC URL,7a,Enrolment,Raw,StreetNumber,The address number assigned to building,,,,,,,,,,,Student's term? Usual? Physical Address?,School Enrolling Student,,,,StudentPersonal,PersonInfo/AddressList/Address/Street/StreetNumber,Descriptor,Student,,,,,,,,,,,,,,,,
10,NSSC URL,7b,Enrolment,Raw,StreetName,The name of the street,,,,,,,,,,,Student's term? Usual? Physical Address?,School Enrolling Student,,,,StudentPersonal,PersonInfo/AddressList/Address/Street/StreetName,Descriptor,Student,,,,,,,,,,,,,,,,
