DataElementId,Collection,Collection Data Element Number,Collection Frame,Classification,Data Element,Definition,Collection Short Name,Population,Coding Data  Type,Size,Coding Format,Guide for Use,System Requirements,Standards Used,Related Items,Rules,Comments,Authoritative Source,Where used or published,Custodian of DataSet,Reference to Standards,SIF Object,SIF Element,Data Element Type,SIFFrame,Able to be mapped at RAW
1,NSSC NIT,,Table 1-1,Aggregate,Number of Schools,"A school is defined as an education establishment which satisfies all of the following criteria: 
1. its major activity is the provision of full-time day primary, secondary or special school education or distance education, and 
2. it is headed by a principal or equivalent, responsible for its internal operation, and
3. it is possible for students to enrol and be active in a course of study for a minimum of four continuous weeks (excluding breaks for school vacations).",,Non-special schools and students,Number,,Number  ,"This table requires the number of non-special schools only.
Intensive Language Learning Centres in Victoria are to be recorded as Pre-year 1 to Year 12.",,,,"Notes: A campus may have a principal, but that does not make a campus a school. The single physical location then becomes the defining factor. Multi-campus arrangements are counted as one school - the number of principals need not equal the number of schools. For Queensland and the Northern Territory, Secondary Colleges are to be considered in-scope. Schools trialling a new system such as the ‘New Basics’ should be included, if they meet the ‘normal’ NSSC criteria.",,,,Australian Bureau of Statistics,,,,Calculated,School,Yes
2,NSSC NIT,,Table 1-1,Aggregate,Number of Students,Full time equivalent (FTE) number of students,,Non-special schools and students,Number,,Number to 2 decimal places,"Intensive Language Learning Centres in Victoria, and the relevant students are to be recorded as Pre-year 1 to Year 12.",,,,,,School enrolling student,,Australian Bureau of Statistics,,,,Calculated,School,Yes
3,NSSC NIT,,Table 1-1,Aggregate,Year level of education,Highest and lowest year of education being provided.,,Non-special schools and students,,,,"Any other schools operating with ungraded classes only, should be noted in the comments section.",,,,,,School enrolling student,,Australian Bureau of Statistics,,SchoolInfo,YearLevels,,,
4,NSSC NIT,,Table 1-1,Derived,School Category,"Schools are categorised into primary, secondary and combined based on the highest and lowest  Year levels of education being provided.",,Non-special schools and students,Character,,,Based on highest and lowest levels of education provided,,,,,,School enrolling student,,Australian Bureau of Statistics,,SchoolInfo,SchoolType,,,
5,NSSC NIT,,Table 1-1,Derived,Single sex school,Schools with students of one sex only,,Non-special schools and students,,,,Include single sex schools giving details of the number of male and female only in the comments section.,,,,,,School enrolling student,,Australian Bureau of Statistics,,SchoolInfo,SchoolCoEdStatus,Calculated,,
6,NSSC NIT,,Table 1-2,Aggregate,Number of schools,Number of non-special schools by the size of primary and secondary enrolments (FTE of primary and secondary enrolments).,,Non-special schools and students,Number,,,,,,,,,,,Australian Bureau of Statistics,,,,Calculated,,Yes
7,NSSC NIT,,Table 1-3,Aggregate,Number of special schools,"Number of special schools, special student entry qualifications, FTE and number of enrolments.  Systems may list individual schools, or cluster categories.",,Special Schools and students,,,,,,,,,,,,Australian Bureau of Statistics,,,,Calculated,,Yes
8,NSSC NIT,,Table 1-3,Aggregate,Special student entry qualifications,,,Special Schools and students,,,"Behavioural Disorders
Diagnostic Disorders
Emotional Disturbance
Hospital Schools
Juvenile Justice
Medium/High Support Needs (intellectual/physical/sensory)",,,,,,,School enrolling student,,Australian Bureau of Statistics,,,,Calculated,,
9,NSSC NIT,,Table 1-3,Aggregate,FTE (Student enrolments) ,,,Special Schools and students,Number,,Number to 2 decimal places,,,,,,,School enrolling student,,Australian Bureau of Statistics,,,,,,Yes
10,NSSC NIT,,Table 1-3,Aggregate,Number of enrolments,,,Special Schools and students,Number,,,,,,,,,School enrolling student,,Australian Bureau of Statistics,,SchoolInfo,TotalEnrollments,Calculated,,
11,NSSC NIT,,Table 3-1,Aggregate,Number of staff,"Staff generally active in schools or AEEs. Staff are persons engaged in the administration and/or provision of day primary, secondary or special school education, or primary or secondary education by distance education at in-scope education establishments.",,In-school staff,,,"Reported by attributes:
Area of Activity: Active in Primary Education, Active in Secondary Education, Total
Males, Females, Persons 
Major Function: Teaching Staff; Specialist Support Staff; Administrative and Clerical Staff (incl. Teacher aides & assistants);  Building operations, general maintenance and other staff",,,,,"INCLUDE staff absent from a position for a period of less than four (4) continuous weeks (excluding school vacations for teaching staff) at the Census date. If they have been or are expected to be absent from a position for a period of four (4) continuous weeks or longer, count the replacement teacher unless that replacement has not or is not expected to be occupying the position for four continuous weeks or longer (excluding school vacations for teaching staff).
INCLUDE the FTE of in-scope staff teaching evening secondary students attending Secondary Colleges in Tasmania, Western Australia and the Northern Territory and Secondary Colleges in Queensland.
INCLUDE staff paid from school grant payments.
INCLUDE staff employed under various Government sponsored employment schemes.
EXCLUDE persons on extended leave. (Extended leave is a period of leave of four continuous weeks or longer, excluding school vacations and recreation leave. It may be paid or unpaid leave and has no upper limit.)
EXCLUDE all persons not under the control of the director-general (or equivalent), e.g. nurses or therapists working for the state or territory department of health (or equivalent).
EXCLUDE persons responsible to a state, territory or commonwealth minister of education but not to the director-general (or equivalent).
EXCLUDE those persons under the control of the director-general (or equivalent) who satisfy one or more of the following criteria:
1. are cleaners, whether salaried or employed on contract
2. are involved in the management and/or maintenance of boarding or hostel facilities for students
3. are paid from privately raised funds
4. have been occupying, or expect to be occupying, a position for a period of less than four continuous weeks (excluding school vacations for teaching staff) at the Census date, and/or
5. persons replacing those who are temporarily absent
",,,,Australian Bureau of Statistics,,,,Calculated,,Yes
12,NSSC NIT,,Table 3-1,Aggregate,Number of staff (FTE),"Staff generally active in schools or AEEs. Staff are persons engaged in the administration and/or provision of day primary, secondary or special school education, or primary or secondary education by distance education at in-scope education establishments.",,In-school staff,,,"Reported by attributes:
Area of Activity: Active in Primary Education, Active in Secondary Education, Total
Males, Females, Persons 
Major Function: Teaching Staff; Specialist Support Staff; Administrative and Clerical Staff (incl. Teacher aides & assistants);  Building operations, general maintenance and other staff",,,,,"PART-TIME Staff are persons who are either (a) not employed full time, or (b) part of whose duties fall outside the scope of this collection. Calculate the FTE of these staff. FTE should be based on the reference period.",,,,Australian Bureau of Statistics,,,,Calculated,,Yes
13,NSSC NIT,,Table 3-1,Aggregate,Staff Area of Activity,"Staff: Active in Primary Education, Secondary Education, Total",,,,,,"Staff to be included in Table 3-1 are further classified to Area of activity. Area of activity comprises primary education and secondary education. Staff who work in more than one Area of activity should have their FTE apportioned across areas of activity and the basis of apportionment to be noted in the comments. 
Active in primary education refers to activity relating to primary education at all schools.
Active in secondary education refers to activity relating to secondary education at all schools.

",,,,,,,,Australian Bureau of Statistics,,StaffAssignment,StaffActivity,,,
14,NSSC NIT,,Table 3-1,Aggregate,Staff Sex,Staff Sex,,,,,"Males, Females, Persons",,,,,,,,,Australian Bureau of Statistics,,StaffPersonal,PersonInfo/Demographics/Sex,,,
15,NSSC NIT,,Table 3-1,Aggregate,Staff Major Function ,Staff: Major function,,,,,"The functions for staff generally active in schools and AAEs are:
-Teaching Staff
-Specialist Support Staff,
-Administrative and Clerical Staff (incl. Teacher aides & assistants)
-Building operations, general maintenance and other staff","
TEACHING STAFF 
Teaching staff are those who spend the majority of their time in contact with students (i.e. support students either by direct class contact or on an individual basis) and have teaching duties (i.e. are engaged to impart the school curriculum).
Although the definition of teaching staff no longer contains a reference to payment under a Teachers’ Salary Award, the great majority of teaching staff will be paid in this way.  
For the Northern Territory, Assistant Teachers in Homeland Learning Centres and Community schools are to be included as Teaching staff, and the number and FTE should be noted in the comments section of the table.
Undergraduate students working as teaching staff should be included if they meet NSSC criteria.
For the purposes of this collection, Teaching Staff includes principals, deputy principals, campus principals and senior teachers mainly involved in administrative duties. Depending on their workload, principals can be either full-time or part-time.

SPECIALIST SUPPORT STAFF
Specialist support staff are those who perform functions that are of special benefit to students or teaching staff in the development of the school curriculum. While these staff may spend the majority of their time in contact with students, they are not employed or engaged to impart the school curriculum.

ADMINISTRATIVE AND CLERICAL STAFF  (Including Teacher aides and assistants)
Administrative and clerical staff are those whose main duties are generally of a clerical/administrative nature.

BUILDING OPERATIONS, GENERAL MAINTENANCE AND OTHER STAFF - Building operations, general maintenance and other staff are those involved in the maintenance of buildings, grounds etc. These include those staff providing associated technical services and other janitorial staff. It also includes the repair and servicing of equipment such as video machines and laboratory equipment.
",,,,"MAJOR FUNCTION (of school staff) - Major function is based on duties performed. Staff who spend more than half their time in contact with students, and/or generally perform the majority of their duties in one or more schools/AEEs are classified as school staff. Persons are to be recorded according to their major function rather than to their type of appointment. Any person is to be recorded in only one functional category, i.e. according to their major function. (Allocation of function is seen as a workable estimation of resource usage.)",,,,Australian Bureau of Statistics,,,,,,
